comment_id,video_id,author,comment,like_count
c0001,VID_EN,user_en_00,"This video is absolutely amazing, I loved it so much 😍",0
c0002,VID_EN,user_en_01,"Such a fantastic video, please make more like this 🔥",1
c0003,VID_EN,user_en_02,"Best video I have ever seen, truly wonderful work 👍",2
c0004,VID_EN,user_en_03,"Really enjoyed this video, great job and keep it up ❤️",3
c0005,VID_EN,user_en_10,"This song is absolutely amazing, I loved it so much 🔥",3
c0006,VID_EN,user_en_11,"Such a fantastic song, please make more like this 👍",4
c0007,VID_EN,user_en_12,"Best song I have ever seen, truly wonderful work ❤️",5
c0008,VID_EN,user_en_13,"Really enjoyed this song, great job and keep it up 😀",6
c0009,VID_EN,user_en_20,"This tutorial is absolutely amazing, I loved it so much 👍",6
c0010,VID_EN,user_en_21,"Such a fantastic tutorial, please make more like this ❤️",7
c0011,VID_EN,user_en_22,"Best tutorial I have ever seen, truly wonderful work 😀",8
c0012,VID_EN,user_en_23,"Really enjoyed this tutorial, great job and keep it up 🎉",9
c0013,VID_EN,user_en_30,"This movie scene is absolutely amazing, I loved it so much ❤️",9
c0014,VID_EN,user_en_31,"Such a fantastic movie scene, please make more like this 😀",10
c0015,VID_EN,user_en_32,"Best movie scene I have ever seen, truly wonderful work 🎉",11
c0016,VID_EN,user_en_33,"Really enjoyed this movie scene, great job and keep it up 😍",12
c0017,VID_EN,user_en_40,"This recipe is absolutely amazing, I loved it so much 😀",12
c0018,VID_EN,user_en_41,"Such a fantastic recipe, please make more like this 🎉",13
c0019,VID_EN,user_en_42,"Best recipe I have ever seen, truly wonderful work 😍",14
c0020,VID_EN,user_en_43,"Really enjoyed this recipe, great job and keep it up 🔥",15
c0021,VID_EN,user_en_50,"This match is absolutely amazing, I loved it so much 🎉",15
c0022,VID_EN,user_en_51,"Such a fantastic match, please make more like this 😍",16
c0023,VID_EN,user_en_52,"Best match I have ever seen, truly wonderful work 🔥",0
c0024,VID_EN,user_en_53,"Really enjoyed this match, great job and keep it up 👍",1
c0025,VID_EN,user_en_00,This video was terrible and a complete waste of time 😢,0
c0026,VID_EN,user_en_01,"I really hated this video, very disappointing and boring 😡",1
c0027,VID_EN,user_en_02,"Worst video ever, the quality is awful 👎",2
c0028,VID_EN,user_en_03,"This video made me angry, totally useless content 💔",3
c0029,VID_EN,user_en_10,This song was terrible and a complete waste of time 😡,3
c0030,VID_EN,user_en_11,"I really hated this song, very disappointing and boring 👎",4
c0031,VID_EN,user_en_12,"Worst song ever, the quality is awful 💔",5
c0032,VID_EN,user_en_13,"This song made me angry, totally useless content 😞",6
c0033,VID_EN,user_en_20,This tutorial was terrible and a complete waste of time 👎,6
c0034,VID_EN,user_en_21,"I really hated this tutorial, very disappointing and boring 💔",7
c0035,VID_EN,user_en_22,"Worst tutorial ever, the quality is awful 😞",8
c0036,VID_EN,user_en_23,"This tutorial made me angry, totally useless content 😠",9
c0037,VID_EN,user_en_30,This movie scene was terrible and a complete waste of time 💔,9
c0038,VID_EN,user_en_31,"I really hated this movie scene, very disappointing and boring 😞",10
c0039,VID_EN,user_en_32,"Worst movie scene ever, the quality is awful 😠",11
c0040,VID_EN,user_en_33,"This movie scene made me angry, totally useless content 😢",12
c0041,VID_EN,user_en_40,This recipe was terrible and a complete waste of time 😞,12
c0042,VID_EN,user_en_41,"I really hated this recipe, very disappointing and boring 😠",13
c0043,VID_EN,user_en_42,"Worst recipe ever, the quality is awful 😢",14
c0044,VID_EN,user_en_43,"This recipe made me angry, totally useless content 😡",15
c0045,VID_EN,user_en_50,This match was terrible and a complete waste of time 😠,15
c0046,VID_EN,user_en_51,"I really hated this match, very disappointing and boring 😢",16
c0047,VID_EN,user_en_52,"Worst match ever, the quality is awful 😡",0
c0048,VID_EN,user_en_53,"This match made me angry, totally useless content 👎",1
c0049,VID_EN,user_en_00,This is a video about the topic,0
c0050,VID_EN,user_en_01,"Watched the video today, it was okay overall 🙂",1
c0051,VID_EN,user_en_02,"The video is average, nothing special to mention 😯",2
c0052,VID_EN,user_en_03,Here is another video on the channel,3
c0053,VID_EN,user_en_10,This is a song about the topic 🙂,3
c0054,VID_EN,user_en_11,"Watched the song today, it was okay overall 😯",4
c0055,VID_EN,user_en_12,"The song is average, nothing special to mention",5
c0056,VID_EN,user_en_13,Here is another song on the channel,6
c0057,VID_EN,user_en_20,This is a tutorial about the topic 😯,6
c0058,VID_EN,user_en_21,"Watched the tutorial today, it was okay overall",7
c0059,VID_EN,user_en_22,"The tutorial is average, nothing special to mention",8
c0060,VID_EN,user_en_23,Here is another tutorial on the channel 🙂,9
c0061,VID_EN,user_en_30,This is a movie scene about the topic,9
c0062,VID_EN,user_en_31,"Watched the movie scene today, it was okay overall",10
c0063,VID_EN,user_en_32,"The movie scene is average, nothing special to mention 🙂",11
c0064,VID_EN,user_en_33,Here is another movie scene on the channel 😯,12
c0065,VID_EN,user_en_40,This is a recipe about the topic,12
c0066,VID_EN,user_en_41,"Watched the recipe today, it was okay overall 🙂",13
c0067,VID_EN,user_en_42,"The recipe is average, nothing special to mention 😯",14
c0068,VID_EN,user_en_43,Here is another recipe on the channel,15
c0069,VID_EN,user_en_50,This is a match about the topic 🙂,15
c0070,VID_EN,user_en_51,"Watched the match today, it was okay overall 😯",16
c0071,VID_EN,user_en_52,"The match is average, nothing special to mention",0
c0072,VID_EN,user_en_53,Here is another match on the channel,1
c0073,VID_HI,user_hi_00,यह वीडियो बहुत शानदार है मुझे बहुत पसंद आया 😍,0
c0074,VID_HI,user_hi_01,बहुत बढ़िया वीडियो ऐसे और बनाओ 🔥,1
c0075,VID_HI,user_hi_02,सबसे अच्छा वीडियो जो मैंने देखा है शानदार काम 👍,2
c0076,VID_HI,user_hi_10,यह गाना बहुत शानदार है मुझे बहुत पसंद आया 🔥,3
c0077,VID_HI,user_hi_11,बहुत बढ़िया गाना ऐसे और बनाओ 👍,4
c0078,VID_HI,user_hi_12,सबसे अच्छा गाना जो मैंने देखा है शानदार काम ❤️,5
c0079,VID_HI,user_hi_20,यह ट्यूटोरियल बहुत शानदार है मुझे बहुत पसंद आया 👍,6
c0080,VID_HI,user_hi_21,बहुत बढ़िया ट्यूटोरियल ऐसे और बनाओ ❤️,7
c0081,VID_HI,user_hi_22,सबसे अच्छा ट्यूटोरियल जो मैंने देखा है शानदार काम 😀,8
c0082,VID_HI,user_hi_30,यह फिल्म बहुत शानदार है मुझे बहुत पसंद आया ❤️,9
c0083,VID_HI,user_hi_31,बहुत बढ़िया फिल्म ऐसे और बनाओ 😀,10
c0084,VID_HI,user_hi_32,सबसे अच्छा फिल्म जो मैंने देखा है शानदार काम 🎉,11
c0085,VID_HI,user_hi_40,यह रेसिपी बहुत शानदार है मुझे बहुत पसंद आया 😀,12
c0086,VID_HI,user_hi_41,बहुत बढ़िया रेसिपी ऐसे और बनाओ 🎉,13
c0087,VID_HI,user_hi_42,सबसे अच्छा रेसिपी जो मैंने देखा है शानदार काम 😍,14
c0088,VID_HI,user_hi_50,यह मैच बहुत शानदार है मुझे बहुत पसंद आया 🎉,15
c0089,VID_HI,user_hi_51,बहुत बढ़िया मैच ऐसे और बनाओ 😍,16
c0090,VID_HI,user_hi_52,सबसे अच्छा मैच जो मैंने देखा है शानदार काम 🔥,0
c0091,VID_HI,user_hi_00,यह वीडियो बहुत खराब था समय की बर्बादी 😢,0
c0092,VID_HI,user_hi_01,मुझे यह वीडियो बिल्कुल पसंद नहीं आया बहुत बुरा 😡,1
c0093,VID_HI,user_hi_02,सबसे खराब वीडियो गुणवत्ता बहुत खराब है 👎,2
c0094,VID_HI,user_hi_10,यह गाना बहुत खराब था समय की बर्बादी 😡,3
c0095,VID_HI,user_hi_11,मुझे यह गाना बिल्कुल पसंद नहीं आया बहुत बुरा 👎,4
c0096,VID_HI,user_hi_12,सबसे खराब गाना गुणवत्ता बहुत खराब है 💔,5
c0097,VID_HI,user_hi_20,यह ट्यूटोरियल बहुत खराब था समय की बर्बादी 👎,6
c0098,VID_HI,user_hi_21,मुझे यह ट्यूटोरियल बिल्कुल पसंद नहीं आया बहुत बुरा 💔,7
c0099,VID_HI,user_hi_22,सबसे खराब ट्यूटोरियल गुणवत्ता बहुत खराब है 😞,8
